yearID,teamID,franchID,lgID,name,W,L,G,W_pct,canonical_franchise,is_relocated_franchise,relocation_year,pre_relocation,post_relocation,years_since_relocation,relocation_era
2011,CHN,CHC,NL,Chicago Cubs,71,91,162,0.438,CHC,False,,False,False,,none
2012,CHN,CHC,NL,Chicago Cubs,61,101,162,0.377,CHC,False,,False,False,,none
2013,CHN,CHC,NL,Chicago Cubs,66,96,162,0.407,CHC,False,,False,False,,none
2014,CHN,CHC,NL,Chicago Cubs,73,89,162,0.451,CHC,False,,False,False,,none
2015,CHN,CHC,NL,Chicago Cubs,97,65,162,0.599,CHC,False,,False,False,,none
2016,CHN,CHC,NL,Chicago Cubs,103,58,161,0.64,CHC,False,,False,False,,none
2017,CHN,CHC,NL,Chicago Cubs,92,70,162,0.568,CHC,False,,False,False,,none
2018,CHN,CHC,NL,Chicago Cubs,95,68,163,0.583,CHC,False,,False,False,,none
2019,CHN,CHC,NL,Chicago Cubs,84,78,162,0.519,CHC,False,,False,False,,none
2020,CHN,CHC,NL,Chicago Cubs,34,26,60,0.567,CHC,False,,False,False,,none
2021,CHN,CHC,NL,Chicago Cubs,71,91,162,0.438,CHC,False,,False,False,,none
2022,CHN,CHC,NL,Chicago Cubs,74,88,162,0.457,CHC,False,,False,False,,none
2023,CHN,CHC,NL,Chicago Cubs,83,79,162,0.512,CHC,False,,False,False,,none
2024,CHN,CHC,NL,Chicago Cubs,83,79,162,0.512,CHC,False,,False,False,,none
1901,CHA,CHW,AL,Chicago White Sox,83,53,136,0.61,CHW,False,,False,False,,none
1902,CHA,CHW,AL,Chicago White Sox,74,60,134,0.552,CHW,False,,False,False,,none
1903,CHA,CHW,AL,Chicago White Sox,60,77,137,0.438,CHW,False,,False,False,,none
1904,CHA,CHW,AL,Chicago White Sox,89,65,154,0.578,CHW,False,,False,False,,none
1905,CHA,CHW,AL,Chicago White Sox,92,60,152,0.605,CHW,False,,False,False,,none
1906,CHA,CHW,AL,Chicago White Sox,93,58,151,0.616,CHW,False,,False,False,,none
1907,CHA,CHW,AL,Chicago White Sox,87,64,151,0.576,CHW,False,,False,False,,none
1908,CHA,CHW,AL,Chicago White Sox,88,64,152,0.579,CHW,False,,False,False,,none
1909,CHA,CHW,AL,Chicago White Sox,78,74,152,0.513,CHW,False,,False,False,,none
1910,CHA,CHW,AL,Chicago White Sox,68,85,153,0.444,CHW,False,,False,False,,none
1911,CHA,CHW,AL,Chicago White Sox,77,74,151,0.51,CHW,False,,False,False,,none
1912,CHA,CHW,AL,Chicago White Sox,78,76,154,0.506,CHW,False,,False,False,,none
1913,CHA,CHW,AL,Chicago White Sox,78,74,152,0.513,CHW,False,,False,False,,none
1914,CHA,CHW,AL,Chicago White Sox,70,84,154,0.455,CHW,False,,False,False,,none
1915,CHA,CHW,AL,Chicago White Sox,93,61,154,0.604,CHW,False,,False,False,,none
1916,CHA,CHW,AL,Chicago White Sox,89,65,154,0.578,CHW,False,,False,False,,none
1917,CHA,CHW,AL,Chicago White Sox,100,54,154,0.649,CHW,False,,False,False,,none
1918,CHA,CHW,AL,Chicago White Sox,57,67,124,0.46,CHW,False,,False,False,,none
1919,CHA,CHW,AL,Chicago White Sox,88,52,140,0.629,CHW,False,,False,False,,none
1920,CHA,CHW,AL,Chicago White Sox,96,58,154,0.623,CHW,False,,False,False,,none
1921,CHA,CHW,AL,Chicago White Sox,62,92,154,0.403,CHW,False,,False,False,,none
1922,CHA,CHW,AL,Chicago White Sox,77,77,154,0.5,CHW,False,,False,False,,none
1923,CHA,CHW,AL,Chicago White Sox,69,85,154,0.448,CHW,False,,False,False,,none
1924,CHA,CHW,AL,Chicago White Sox,66,87,153,0.431,CHW,False,,False,False,,none
1925,CHA,CHW,AL,Chicago White Sox,79,75,154,0.513,CHW,False,,False,False,,none
1926,CHA,CHW,AL,Chicago White Sox,81,72,153,0.529,CHW,False,,False,False,,none
1927,CHA,CHW,AL,Chicago White Sox,70,83,153,0.458,CHW,False,,False,False,,none
1928,CHA,CHW,AL,Chicago White Sox,72,82,154,0.468,CHW,False,,False,False,,none
1929,CHA,CHW,AL,Chicago White Sox,59,93,152,0.388,CHW,False,,False,False,,none
1930,CHA,CHW,AL,Chicago White Sox,62,92,154,0.403,CHW,False,,False,False,,none
1931,CHA,CHW,AL,Chicago White Sox,56,97,153,0.366,CHW,False,,False,False,,none
1932,CHA,CHW,AL,Chicago White Sox,49,102,151,0.325,CHW,False,,False,False,,none
1933,CHA,CHW,AL,Chicago White Sox,67,83,150,0.447,CHW,False,,False,False,,none
1934,CHA,CHW,AL,Chicago White Sox,53,99,152,0.349,CHW,False,,False,False,,none
1935,CHA,CHW,AL,Chicago White Sox,74,78,152,0.487,CHW,False,,False,False,,none
1936,CHA,CHW,AL,Chicago White Sox,81,70,151,0.536,CHW,False,,False,False,,none
1937,CHA,CHW,AL,Chicago White Sox,86,68,154,0.558,CHW,False,,False,False,,none
1938,CHA,CHW,AL,Chicago White Sox,65,83,148,0.439,CHW,False,,False,False,,none
1939,CHA,CHW,AL,Chicago White Sox,85,69,154,0.552,CHW,False,,False,False,,none
1940,CHA,CHW,AL,Chicago White Sox,82,72,154,0.532,CHW,False,,False,False,,none
1941,CHA,CHW,AL,Chicago White Sox,77,77,154,0.5,CHW,False,,False,False,,none
1942,CHA,CHW,AL,Chicago White Sox,66,82,148,0.446,CHW,False,,False,False,,none
1943,CHA,CHW,AL,Chicago White Sox,82,72,154,0.532,CHW,False,,False,False,,none
1944,CHA,CHW,AL,Chicago White Sox,71,83,154,0.461,CHW,False,,False,False,,none
1945,CHA,CHW,AL,Chicago White Sox,71,78,149,0.477,CHW,False,,False,False,,none
1946,CHA,CHW,AL,Chicago White Sox,74,80,154,0.481,CHW,False,,False,False,,none
1947,CHA,CHW,AL,Chicago White Sox,70,84,154,0.455,CHW,False,,False,False,,none
1948,CHA,CHW,AL,Chicago White Sox,51,101,152,0.336,CHW,False,,False,False,,none
1949,CHA,CHW,AL,Chicago White Sox,63,91,154,0.409,CHW,False,,False,False,,none
1950,CHA,CHW,AL,Chicago White Sox,60,94,154,0.39,CHW,False,,False,False,,none
1951,CHA,CHW,AL,Chicago White Sox,81,73,154,0.526,CHW,False,,False,False,,none
1952,CHA,CHW,AL,Chicago White Sox,81,73,154,0.526,CHW,False,,False,False,,none
1953,CHA,CHW,AL,Chicago White Sox,89,65,154,0.578,CHW,False,,False,False,,none
1954,CHA,CHW,AL,Chicago White Sox,94,60,154,0.61,CHW,False,,False,False,,none
1955,CHA,CHW,AL,Chicago White Sox,91,63,154,0.591,CHW,False,,False,False,,none
1956,CHA,CHW,AL,Chicago White Sox,85,69,154,0.552,CHW,False,,False,False,,none
1957,CHA,CHW,AL,Chicago White Sox,90,64,154,0.584,CHW,False,,False,False,,none
1958,CHA,CHW,AL,Chicago White Sox,82,72,154,0.532,CHW,False,,False,False,,none
1959,CHA,CHW,AL,Chicago White Sox,94,60,154,0.61,CHW,False,,False,False,,none
1960,CHA,CHW,AL,Chicago White Sox,87,67,154,0.565,CHW,False,,False,False,,none
1961,CHA,CHW,AL,Chicago White Sox,86,76,162,0.531,CHW,False,,False,False,,none
1962,CHA,CHW,AL,Chicago White Sox,85,77,162,0.525,CHW,False,,False,False,,none
1963,CHA,CHW,AL,Chicago White Sox,94,68,162,0.58,CHW,False,,False,False,,none
1964,CHA,CHW,AL,Chicago White Sox,98,64,162,0.605,CHW,False,,False,False,,none
1965,CHA,CHW,AL,Chicago White Sox,95,67,162,0.586,CHW,False,,False,False,,none
1966,CHA,CHW,AL,Chicago White Sox,83,79,162,0.512,CHW,False,,False,False,,none
1967,CHA,CHW,AL,Chicago White Sox,89,73,162,0.549,CHW,False,,False,False,,none
1968,CHA,CHW,AL,Chicago White Sox,67,95,162,0.414,CHW,False,,False,False,,none
1969,CHA,CHW,AL,Chicago White Sox,68,94,162,0.42,CHW,False,,False,False,,none
1970,CHA,CHW,AL,Chicago White Sox,56,106,162,0.346,CHW,False,,False,False,,none
1971,CHA,CHW,AL,Chicago White Sox,79,83,162,0.488,CHW,False,,False,False,,none
1972,CHA,CHW,AL,Chicago White Sox,87,67,154,0.565,CHW,False,,False,False,,none
1973,CHA,CHW,AL,Chicago White Sox,77,85,162,0.475,CHW,False,,False,False,,none
1974,CHA,CHW,AL,Chicago White Sox,80,80,160,0.5,CHW,False,,False,False,,none
1975,CHA,CHW,AL,Chicago White Sox,75,86,161,0.466,CHW,False,,False,False,,none
1976,CHA,CHW,AL,Chicago White Sox,64,97,161,0.398,CHW,False,,False,False,,none
1977,CHA,CHW,AL,Chicago White Sox,90,72,162,0.556,CHW,False,,False,False,,none
1978,CHA,CHW,AL,Chicago White Sox,71,90,161,0.441,CHW,False,,False,False,,none
1979,CHA,CHW,AL,Chicago White Sox,73,87,160,0.456,CHW,False,,False,False,,none
1980,CHA,CHW,AL,Chicago White Sox,70,90,160,0.438,CHW,False,,False,False,,none
1981,CHA,CHW,AL,Chicago White Sox,54,52,106,0.509,CHW,False,,False,False,,none
1982,CHA,CHW,AL,Chicago White Sox,87,75,162,0.537,CHW,False,,False,False,,none
1983,CHA,CHW,AL,Chicago White Sox,99,63,162,0.611,CHW,False,,False,False,,none
1984,CHA,CHW,AL,Chicago White Sox,74,88,162,0.457,CHW,False,,False,False,,none
1985,CHA,CHW,AL,Chicago White Sox,85,77,162,0.525,CHW,False,,False,False,,none
1986,CHA,CHW,AL,Chicago White Sox,72,90,162,0.444,CHW,False,,False,False,,none
1987,CHA,CHW,AL,Chicago White Sox,77,85,162,0.475,CHW,False,,False,False,,none
1988,CHA,CHW,AL,Chicago White Sox,71,90,161,0.441,CHW,False,,False,False,,none
1989,CHA,CHW,AL,Chicago White Sox,69,92,161,0.429,CHW,False,,False,False,,none
1990,CHA,CHW,AL,Chicago White Sox,94,68,162,0.58,CHW,False,,False,False,,none
1991,CHA,CHW,AL,Chicago White Sox,87,75,162,0.537,CHW,False,,False,False,,none
1992,CHA,CHW,AL,Chicago White Sox,86,76,162,0.531,CHW,False,,False,False,,none
1993,CHA,CHW,AL,Chicago White Sox,94,68,162,0.58,CHW,False,,False,False,,none
1994,CHA,CHW,AL,Chicago White Sox,67,46,113,0.593,CHW,False,,False,False,,none
1995,CHA,CHW,AL,Chicago White Sox,68,76,144,0.472,CHW,False,,False,False,,none
1996,CHA,CHW,AL,Chicago White Sox,85,77,162,0.525,CHW,False,,False,False,,none
1997,CHA,CHW,AL,Chicago White Sox,80,81,161,0.497,CHW,False,,False,False,,none
1998,CHA,CHW,AL,Chicago White Sox,80,82,162,0.494,CHW,False,,False,False,,none
1999,CHA,CHW,AL,Chicago White Sox,75,86,161,0.466,CHW,False,,False,False,,none
2000,CHA,CHW,AL,Chicago White Sox,95,67,162,0.586,CHW,False,,False,False,,none
2001,CHA,CHW,AL,Chicago White Sox,83,79,162,0.512,CHW,False,,False,False,,none
2002,CHA,CHW,AL,Chicago White Sox,81,81,162,0.5,CHW,False,,False,False,,none
2003,CHA,CHW,AL,Chicago White Sox,86,76,162,0.531,CHW,False,,False,False,,none
2004,CHA,CHW,AL,Chicago White Sox,83,79,162,0.512,CHW,False,,False,False,,none
2005,CHA,CHW,AL,Chicago White Sox,99,63,162,0.611,CHW,False,,False,False,,none
2006,CHA,CHW,AL,Chicago White Sox,90,72,162,0.556,CHW,False,,False,False,,none
2007,CHA,CHW,AL,Chicago White Sox,72,90,162,0.444,CHW,False,,False,False,,none
2008,CHA,CHW,AL,Chicago White Sox,89,74,163,0.546,CHW,False,,False,False,,none
2009,CHA,CHW,AL,Chicago White Sox,79,83,162,0.488,CHW,False,,False,False,,none
2010,CHA,CHW,AL,Chicago White Sox,88,74,162,0.543,CHW,False,,False,False,,none
2011,CHA,CHW,AL,Chicago White Sox,79,83,162,0.488,CHW,False,,False,False,,none
2012,CHA,CHW,AL,Chicago White Sox,85,77,162,0.525,CHW,False,,False,False,,none
2013,CHA,CHW,AL,Chicago White Sox,63,99,162,0.389,CHW,False,,False,False,,none
2014,CHA,CHW,AL,Chicago White Sox,73,89,162,0.451,CHW,False,,False,False,,none
2015,CHA,CHW,AL,Chicago White Sox,76,86,162,0.469,CHW,False,,False,False,,none
2016,CHA,CHW,AL,Chicago White Sox,78,84,162,0.481,CHW,False,,False,False,,none
2017,CHA,CHW,AL,Chicago White Sox,67,95,162,0.414,CHW,False,,False,False,,none
2018,CHA,CHW,AL,Chicago White Sox,62,100,162,0.383,CHW,False,,False,False,,none
2019,CHA,CHW,AL,Chicago White Sox,72,89,161,0.447,CHW,False,,False,False,,none
2020,CHA,CHW,AL,Chicago White Sox,35,25,60,0.583,CHW,False,,False,False,,none
2021,CHA,CHW,AL,Chicago White Sox,93,69,162,0.574,CHW,False,,False,False,,none
2022,CHA,CHW,AL,Chicago White Sox,81,81,162,0.5,CHW,False,,False,False,,none
2023,CHA,CHW,AL,Chicago White Sox,61,101,162,0.377,CHW,False,,False,False,,none
2024,CHA,CHW,AL,Chicago White Sox,41,121,162,0.253,CHW,False,,False,False,,none
1882,CN2,CIN,AA,Cincinnati Red Stockings,55,25,80,0.688,CIN,False,,False,False,,none
1883,CN2,CIN,AA,Cincinnati Red Stockings,61,37,98,0.622,CIN,False,,False,False,,none
1884,CN2,CIN,AA,Cincinnati Red Stockings,68,41,109,0.624,CIN,False,,False,False,,none
1885,CN2,CIN,AA,Cincinnati Red Stockings,63,49,112,0.562,CIN,False,,False,False,,none
1886,CN2,CIN,AA,Cincinnati Red Stockings,65,73,138,0.471,CIN,False,,False,False,,none
1887,CN2,CIN,AA,Cincinnati Red Stockings,81,54,135,0.6,CIN,False,,False,False,,none
1888,CN2,CIN,AA,Cincinnati Red Stockings,80,54,134,0.597,CIN,False,,False,False,,none
1889,CN2,CIN,AA,Cincinnati Red Stockings,76,63,139,0.547,CIN,False,,False,False,,none
1890,CIN,CIN,NL,Cincinnati Reds,77,55,132,0.583,CIN,False,,False,False,,none
1891,CIN,CIN,NL,Cincinnati Reds,56,81,137,0.409,CIN,False,,False,False,,none
1892,CIN,CIN,NL,Cincinnati Reds,82,68,150,0.547,CIN,False,,False,False,,none
1893,CIN,CIN,NL,Cincinnati Reds,65,63,128,0.508,CIN,False,,False,False,,none
1894,CIN,CIN,NL,Cincinnati Reds,55,75,130,0.423,CIN,False,,False,False,,none
1895,CIN,CIN,NL,Cincinnati Reds,66,64,130,0.508,CIN,False,,False,False,,none
1896,CIN,CIN,NL,Cincinnati Reds,77,50,127,0.606,CIN,False,,False,False,,none
1897,CIN,CIN,NL,Cincinnati Reds,76,56,132,0.576,CIN,False,,False,False,,none
1898,CIN,CIN,NL,Cincinnati Reds,92,60,152,0.605,CIN,False,,False,False,,none
1899,CIN,CIN,NL,Cincinnati Reds,83,67,150,0.553,CIN,False,,False,False,,none
1900,CIN,CIN,NL,Cincinnati Reds,62,77,139,0.446,CIN,False,,False,False,,none
1901,CIN,CIN,NL,Cincinnati Reds,52,87,139,0.374,CIN,False,,False,False,,none
1902,CIN,CIN,NL,Cincinnati Reds,70,70,140,0.5,CIN,False,,False,False,,none
1903,CIN,CIN,NL,Cincinnati Reds,74,65,139,0.532,CIN,False,,False,False,,none
1904,CIN,CIN,NL,Cincinnati Reds,88,65,153,0.575,CIN,False,,False,False,,none
1905,CIN,CIN,NL,Cincinnati Reds,79,74,153,0.516,CIN,False,,False,False,,none
1906,CIN,CIN,NL,Cincinnati Reds,64,87,151,0.424,CIN,False,,False,False,,none
1907,CIN,CIN,NL,Cincinnati Reds,66,87,153,0.431,CIN,False,,False,False,,none
1908,CIN,CIN,NL,Cincinnati Reds,73,81,154,0.474,CIN,False,,False,False,,none
1909,CIN,CIN,NL,Cincinnati Reds,77,76,153,0.503,CIN,False,,False,False,,none
1910,CIN,CIN,NL,Cincinnati Reds,75,79,154,0.487,CIN,False,,False,False,,none
1911,CIN,CIN,NL,Cincinnati Reds,70,83,153,0.458,CIN,False,,False,False,,none
1912,CIN,CIN,NL,Cincinnati Reds,75,78,153,0.49,CIN,False,,False,False,,none
1913,CIN,CIN,NL,Cincinnati Reds,64,89,153,0.418,CIN,False,,False,False,,none
1914,CIN,CIN,NL,Cincinnati Reds,60,94,154,0.39,CIN,False,,False,False,,none
1915,CIN,CIN,NL,Cincinnati Reds,71,83,154,0.461,CIN,False,,False,False,,none
1916,CIN,CIN,NL,Cincinnati Reds,60,93,153,0.392,CIN,False,,False,False,,none
1917,CIN,CIN,NL,Cincinnati Reds,78,76,154,0.506,CIN,False,,False,False,,none
1918,CIN,CIN,NL,Cincinnati Reds,68,60,128,0.531,CIN,False,,False,False,,none
1919,CIN,CIN,NL,Cincinnati Reds,96,44,140,0.686,CIN,False,,False,False,,none
1920,CIN,CIN,NL,Cincinnati Reds,82,71,153,0.536,CIN,False,,False,False,,none
1921,CIN,CIN,NL,Cincinnati Reds,70,83,153,0.458,CIN,False,,False,False,,none
1922,CIN,CIN,NL,Cincinnati Reds,86,68,154,0.558,CIN,False,,False,False,,none
1923,CIN,CIN,NL,Cincinnati Reds,91,63,154,0.591,CIN,False,,False,False,,none
1924,CIN,CIN,NL,Cincinnati Reds,83,70,153,0.542,CIN,False,,False,False,,none
1925,CIN,CIN,NL,Cincinnati Reds,80,73,153,0.523,CIN,False,,False,False,,none
1926,CIN,CIN,NL,Cincinnati Reds,87,67,154,0.565,CIN,False,,False,False,,none
1927,CIN,CIN,NL,Cincinnati Reds,75,78,153,0.49,CIN,False,,False,False,,none
1928,CIN,CIN,NL,Cincinnati Reds,78,74,152,0.513,CIN,False,,False,False,,none
1929,CIN,CIN,NL,Cincinnati Reds,66,88,154,0.429,CIN,False,,False,False,,none
1930,CIN,CIN,NL,Cincinnati Reds,59,95,154,0.383,CIN,False,,False,False,,none
1931,CIN,CIN,NL,Cincinnati Reds,58,96,154,0.377,CIN,False,,False,False,,none
1932,CIN,CIN,NL,Cincinnati Reds,60,94,154,0.39,CIN,False,,False,False,,none
1933,CIN,CIN,NL,Cincinnati Reds,58,94,152,0.382,CIN,False,,False,False,,none
1934,CIN,CIN,NL,Cincinnati Reds,52,99,151,0.344,CIN,False,,False,False,,none
1935,CIN,CIN,NL,Cincinnati Reds,68,85,153,0.444,CIN,False,,False,False,,none
1936,CIN,CIN,NL,Cincinnati Reds,74,80,154,0.481,CIN,False,,False,False,,none
1937,CIN,CIN,NL,Cincinnati Reds,56,98,154,0.364,CIN,False,,False,False,,none
1938,CIN,CIN,NL,Cincinnati Reds,82,68,150,0.547,CIN,False,,False,False,,none
1939,CIN,CIN,NL,Cincinnati Reds,97,57,154,0.63,CIN,False,,False,False,,none
1940,CIN,CIN,NL,Cincinnati Reds,100,53,153,0.654,CIN,False,,False,False,,none
1941,CIN,CIN,NL,Cincinnati Reds,88,66,154,0.571,CIN,False,,False,False,,none
1942,CIN,CIN,NL,Cincinnati Reds,76,76,152,0.5,CIN,False,,False,False,,none
1943,CIN,CIN,NL,Cincinnati Reds,87,67,154,0.565,CIN,False,,False,False,,none
1944,CIN,CIN,NL,Cincinnati Reds,89,65,154,0.578,CIN,False,,False,False,,none
1945,CIN,CIN,NL,Cincinnati Reds,61,93,154,0.396,CIN,False,,False,False,,none
1946,CIN,CIN,NL,Cincinnati Reds,67,87,154,0.435,CIN,False,,False,False,,none
1947,CIN,CIN,NL,Cincinnati Reds,73,81,154,0.474,CIN,False,,False,False,,none
1948,CIN,CIN,NL,Cincinnati Reds,64,89,153,0.418,CIN,False,,False,False,,none
1949,CIN,CIN,NL,Cincinnati Reds,62,92,154,0.403,CIN,False,,False,False,,none
1950,CIN,CIN,NL,Cincinnati Reds,66,87,153,0.431,CIN,False,,False,False,,none
1951,CIN,CIN,NL,Cincinnati Reds,68,86,154,0.442,CIN,False,,False,False,,none
1952,CIN,CIN,NL,Cincinnati Reds,69,85,154,0.448,CIN,False,,False,False,,none
1953,CIN,CIN,NL,Cincinnati Reds,68,86,154,0.442,CIN,False,,False,False,,none
1954,CIN,CIN,NL,Cincinnati Redlegs,74,80,154,0.481,CIN,False,,False,False,,none
1955,CIN,CIN,NL,Cincinnati Redlegs,75,79,154,0.487,CIN,False,,False,False,,none
1956,CIN,CIN,NL,Cincinnati Redlegs,91,63,154,0.591,CIN,False,,False,False,,none
1957,CIN,CIN,NL,Cincinnati Redlegs,80,74,154,0.519,CIN,False,,False,False,,none
1958,CIN,CIN,NL,Cincinnati Redlegs,76,78,154,0.494,CIN,False,,False,False,,none
1959,CIN,CIN,NL,Cincinnati Redlegs,74,80,154,0.481,CIN,False,,False,False,,none
1960,CIN,CIN,NL,Cincinnati Reds,67,87,154,0.435,CIN,False,,False,False,,none
1961,CIN,CIN,NL,Cincinnati Reds,93,61,154,0.604,CIN,False,,False,False,,none
1962,CIN,CIN,NL,Cincinnati Reds,98,64,162,0.605,CIN,False,,False,False,,none
1963,CIN,CIN,NL,Cincinnati Reds,86,76,162,0.531,CIN,False,,False,False,,none
1964,CIN,CIN,NL,Cincinnati Reds,92,70,162,0.568,CIN,False,,False,False,,none
1965,CIN,CIN,NL,Cincinnati Reds,89,73,162,0.549,CIN,False,,False,False,,none
1966,CIN,CIN,NL,Cincinnati Reds,76,84,160,0.475,CIN,False,,False,False,,none
1967,CIN,CIN,NL,Cincinnati Reds,87,75,162,0.537,CIN,False,,False,False,,none
1968,CIN,CIN,NL,Cincinnati Reds,83,79,162,0.512,CIN,False,,False,False,,none
1969,CIN,CIN,NL,Cincinnati Reds,89,73,162,0.549,CIN,False,,False,False,,none
1970,CIN,CIN,NL,Cincinnati Reds,102,60,162,0.63,CIN,False,,False,False,,none
1971,CIN,CIN,NL,Cincinnati Reds,79,83,162,0.488,CIN,False,,False,False,,none
1972,CIN,CIN,NL,Cincinnati Reds,95,59,154,0.617,CIN,False,,False,False,,none
1973,CIN,CIN,NL,Cincinnati Reds,99,63,162,0.611,CIN,False,,False,False,,none
1974,CIN,CIN,NL,Cincinnati Reds,98,64,162,0.605,CIN,False,,False,False,,none
1975,CIN,CIN,NL,Cincinnati Reds,108,54,162,0.667,CIN,False,,False,False,,none
1976,CIN,CIN,NL,Cincinnati Reds,102,60,162,0.63,CIN,False,,False,False,,none
1977,CIN,CIN,NL,Cincinnati Reds,88,74,162,0.543,CIN,False,,False,False,,none
1978,CIN,CIN,NL,Cincinnati Reds,92,69,161,0.571,CIN,False,,False,False,,none
1979,CIN,CIN,NL,Cincinnati Reds,90,71,161,0.559,CIN,False,,False,False,,none
1980,CIN,CIN,NL,Cincinnati Reds,89,73,162,0.549,CIN,False,,False,False,,none
1981,CIN,CIN,NL,Cincinnati Reds,66,42,108,0.611,CIN,False,,False,False,,none
1982,CIN,CIN,NL,Cincinnati Reds,61,101,162,0.377,CIN,False,,False,False,,none
1983,CIN,CIN,NL,Cincinnati Reds,74,88,162,0.457,CIN,False,,False,False,,none
1984,CIN,CIN,NL,Cincinnati Reds,70,92,162,0.432,CIN,False,,False,False,,none
1985,CIN,CIN,NL,Cincinnati Reds,89,72,161,0.553,CIN,False,,False,False,,none
1986,CIN,CIN,NL,Cincinnati Reds,86,76,162,0.531,CIN,False,,False,False,,none
1987,CIN,CIN,NL,Cincinnati Reds,84,78,162,0.519,CIN,False,,False,False,,none
1988,CIN,CIN,NL,Cincinnati Reds,87,74,161,0.54,CIN,False,,False,False,,none
1989,CIN,CIN,NL,Cincinnati Reds,75,87,162,0.463,CIN,False,,False,False,,none
1990,CIN,CIN,NL,Cincinnati Reds,91,71,162,0.562,CIN,False,,False,False,,none
1991,CIN,CIN,NL,Cincinnati Reds,74,88,162,0.457,CIN,False,,False,False,,none
1992,CIN,CIN,NL,Cincinnati Reds,90,72,162,0.556,CIN,False,,False,False,,none
1993,CIN,CIN,NL,Cincinnati Reds,73,89,162,0.451,CIN,False,,False,False,,none
1994,CIN,CIN,NL,Cincinnati Reds,66,48,114,0.579,CIN,False,,False,False,,none
1995,CIN,CIN,NL,Cincinnati Reds,85,59,144,0.59,CIN,False,,False,False,,none
1996,CIN,CIN,NL,Cincinnati Reds,81,81,162,0.5,CIN,False,,False,False,,none
1997,CIN,CIN,NL,Cincinnati Reds,76,86,162,0.469,CIN,False,,False,False,,none
1998,CIN,CIN,NL,Cincinnati Reds,77,85,162,0.475,CIN,False,,False,False,,none
1999,CIN,CIN,NL,Cincinnati Reds,96,67,163,0.589,CIN,False,,False,False,,none
2000,CIN,CIN,NL,Cincinnati Reds,85,77,162,0.525,CIN,False,,False,False,,none
2001,CIN,CIN,NL,Cincinnati Reds,66,96,162,0.407,CIN,False,,False,False,,none
2002,CIN,CIN,NL,Cincinnati Reds,78,84,162,0.481,CIN,False,,False,False,,none
2003,CIN,CIN,NL,Cincinnati Reds,69,93,162,0.426,CIN,False,,False,False,,none
2004,CIN,CIN,NL,Cincinnati Reds,76,86,162,0.469,CIN,False,,False,False,,none
2005,CIN,CIN,NL,Cincinnati Reds,73,89,162,0.451,CIN,False,,False,False,,none
2006,CIN,CIN,NL,Cincinnati Reds,80,82,162,0.494,CIN,False,,False,False,,none
2007,CIN,CIN,NL,Cincinnati Reds,72,90,162,0.444,CIN,False,,False,False,,none
2008,CIN,CIN,NL,Cincinnati Reds,74,88,162,0.457,CIN,False,,False,False,,none
2009,CIN,CIN,NL,Cincinnati Reds,78,84,162,0.481,CIN,False,,False,False,,none
2010,CIN,CIN,NL,Cincinnati Reds,91,71,162,0.562,CIN,False,,False,False,,none
2011,CIN,CIN,NL,Cincinnati Reds,79,83,162,0.488,CIN,False,,False,False,,none
2012,CIN,CIN,NL,Cincinnati Reds,97,65,162,0.599,CIN,False,,False,False,,none
2013,CIN,CIN,NL,Cincinnati Reds,90,72,162,0.556,CIN,False,,False,False,,none
2014,CIN,CIN,NL,Cincinnati Reds,76,86,162,0.469,CIN,False,,False,False,,none
2015,CIN,CIN,NL,Cincinnati Reds,64,98,162,0.395,CIN,False,,False,False,,none
2016,CIN,CIN,NL,Cincinnati Reds,68,94,162,0.42,CIN,False,,False,False,,none
2017,CIN,CIN,NL,Cincinnati Reds,68,94,162,0.42,CIN,False,,False,False,,none
2018,CIN,CIN,NL,Cincinnati Reds,67,95,162,0.414,CIN,False,,False,False,,none
2019,CIN,CIN,NL,Cincinnati Reds,75,87,162,0.463,CIN,False,,False,False,,none
2020,CIN,CIN,NL,Cincinnati Reds,31,29,60,0.517,CIN,False,,False,False,,none
2021,CIN,CIN,NL,Cincinnati Reds,83,79,162,0.512,CIN,False,,False,False,,none
2022,CIN,CIN,NL,Cincinnati Reds,62,100,162,0.383,CIN,False,,False,False,,none
2023,CIN,CIN,NL,Cincinnati Reds,82,80,162,0.506,CIN,False,,False,False,,none
2024,CIN,CIN,NL,Cincinnati Reds,77,85,162,0.475,CIN,False,,False,False,,none
1901,CLE,CLE,AL,Cleveland Blues,54,82,136,0.397,CLE,False,,False,False,,none
1902,CLE,CLE,AL,Cleveland Bronchos,69,67,136,0.507,CLE,False,,False,False,,none
1903,CLE,CLE,AL,Cleveland Naps,77,63,140,0.55,CLE,False,,False,False,,none
1904,CLE,CLE,AL,Cleveland Naps,86,65,151,0.57,CLE,False,,False,False,,none
1905,CLE,CLE,AL,Cleveland Naps,76,78,154,0.494,CLE,False,,False,False,,none
1906,CLE,CLE,AL,Cleveland Naps,89,64,153,0.582,CLE,False,,False,False,,none
1907,CLE,CLE,AL,Cleveland Naps,85,67,152,0.559,CLE,False,,False,False,,none
1908,CLE,CLE,AL,Cleveland Naps,90,64,154,0.584,CLE,False,,False,False,,none
1909,CLE,CLE,AL,Cleveland Naps,71,82,153,0.464,CLE,False,,False,False,,none
1910,CLE,CLE,AL,Cleveland Naps,71,81,152,0.467,CLE,False,,False,False,,none
1911,CLE,CLE,AL,Cleveland Naps,80,73,153,0.523,CLE,False,,False,False,,none
