yearID,teamID,franchID,lgID,name,W,L,G,W_pct,canonical_franchise,is_relocated_franchise,relocation_year,pre_relocation,post_relocation,years_since_relocation,relocation_era
1999,ARI,ARI,NL,Arizona Diamondbacks,100,62,162,0.617,ARI,False,,False,False,,none
2000,ARI,ARI,NL,Arizona Diamondbacks,85,77,162,0.525,ARI,False,,False,False,,none
2001,ARI,ARI,NL,Arizona Diamondbacks,92,70,162,0.568,ARI,False,,False,False,,none
2002,ARI,ARI,NL,Arizona Diamondbacks,98,64,162,0.605,ARI,False,,False,False,,none
2003,ARI,ARI,NL,Arizona Diamondbacks,84,78,162,0.519,ARI,False,,False,False,,none
2004,ARI,ARI,NL,Arizona Diamondbacks,51,111,162,0.315,ARI,False,,False,False,,none
2005,ARI,ARI,NL,Arizona Diamondbacks,77,85,162,0.475,ARI,False,,False,False,,none
2006,ARI,ARI,NL,Arizona Diamondbacks,76,86,162,0.469,ARI,False,,False,False,,none
2007,ARI,ARI,NL,Arizona Diamondbacks,90,72,162,0.556,ARI,False,,False,False,,none
2008,ARI,ARI,NL,Arizona Diamondbacks,82,80,162,0.506,ARI,False,,False,False,,none
2009,ARI,ARI,NL,Arizona Diamondbacks,70,92,162,0.432,ARI,False,,False,False,,none
2010,ARI,ARI,NL,Arizona Diamondbacks,65,97,162,0.401,ARI,False,,False,False,,none
2011,ARI,ARI,NL,Arizona Diamondbacks,94,68,162,0.58,ARI,False,,False,False,,none
2012,ARI,ARI,NL,Arizona Diamondbacks,81,81,162,0.5,ARI,False,,False,False,,none
2013,ARI,ARI,NL,Arizona Diamondbacks,81,81,162,0.5,ARI,False,,False,False,,none
2014,ARI,ARI,NL,Arizona Diamondbacks,64,98,162,0.395,ARI,False,,False,False,,none
2015,ARI,ARI,NL,Arizona Diamondbacks,79,83,162,0.488,ARI,False,,False,False,,none
2016,ARI,ARI,NL,Arizona Diamondbacks,69,93,162,0.426,ARI,False,,False,False,,none
2017,ARI,ARI,NL,Arizona Diamondbacks,93,69,162,0.574,ARI,False,,False,False,,none
2018,ARI,ARI,NL,Arizona Diamondbacks,82,80,162,0.506,ARI,False,,False,False,,none
2019,ARI,ARI,NL,Arizona Diamondbacks,85,77,162,0.525,ARI,False,,False,False,,none
2020,ARI,ARI,NL,Arizona Diamondbacks,25,35,60,0.417,ARI,False,,False,False,,none
2021,ARI,ARI,NL,Arizona Diamondbacks,52,110,162,0.321,ARI,False,,False,False,,none
2022,ARI,ARI,NL,Arizona Diamondbacks,74,88,162,0.457,ARI,False,,False,False,,none
2023,ARI,ARI,NL,Arizona Diamondbacks,84,78,162,0.519,ARI,False,,False,False,,none
2024,ARI,ARI,NL,Arizona Diamondbacks,89,73,162,0.549,ARI,False,,False,False,,none
1876,BSN,ATL,NL,Boston Red Caps,39,31,70,0.557,ATL,True,1966,True,False,,none
1877,BSN,ATL,NL,Boston Red Caps,42,18,60,0.7,ATL,True,1966,True,False,,none
1878,BSN,ATL,NL,Boston Red Caps,41,19,60,0.683,ATL,True,1966,True,False,,none
1879,BSN,ATL,NL,Boston Red Caps,54,30,84,0.643,ATL,True,1966,True,False,,none
1880,BSN,ATL,NL,Boston Red Caps,40,44,84,0.476,ATL,True,1966,True,False,,none
1881,BSN,ATL,NL,Boston Red Caps,38,45,83,0.458,ATL,True,1966,True,False,,none
1882,BSN,ATL,NL,Boston Red Caps,45,39,84,0.536,ATL,True,1966,True,False,,none
1883,BSN,ATL,NL,Boston Beaneaters,63,35,98,0.643,ATL,True,1966,True,False,,none
1884,BSN,ATL,NL,Boston Beaneaters,73,38,111,0.658,ATL,True,1966,True,False,,none
1885,BSN,ATL,NL,Boston Beaneaters,46,66,112,0.411,ATL,True,1966,True,False,,none
1886,BSN,ATL,NL,Boston Beaneaters,56,61,117,0.479,ATL,True,1966,True,False,,none
1887,BSN,ATL,NL,Boston Beaneaters,61,60,121,0.504,ATL,True,1966,True,False,,none
1888,BSN,ATL,NL,Boston Beaneaters,70,64,134,0.522,ATL,True,1966,True,False,,none
1889,BSN,ATL,NL,Boston Beaneaters,83,45,128,0.648,ATL,True,1966,True,False,,none
1890,BSN,ATL,NL,Boston Beaneaters,76,57,133,0.571,ATL,True,1966,True,False,,none
1891,BSN,ATL,NL,Boston Beaneaters,87,51,138,0.63,ATL,True,1966,True,False,,none
1892,BSN,ATL,NL,Boston Beaneaters,102,48,150,0.68,ATL,True,1966,True,False,,none
1893,BSN,ATL,NL,Boston Beaneaters,86,43,129,0.667,ATL,True,1966,True,False,,none
1894,BSN,ATL,NL,Boston Beaneaters,83,49,132,0.629,ATL,True,1966,True,False,,none
1895,BSN,ATL,NL,Boston Beaneaters,71,60,131,0.542,ATL,True,1966,True,False,,none
1896,BSN,ATL,NL,Boston Beaneaters,74,57,131,0.565,ATL,True,1966,True,False,,none
1897,BSN,ATL,NL,Boston Beaneaters,93,39,132,0.705,ATL,True,1966,True,False,,none
1898,BSN,ATL,NL,Boston Beaneaters,102,47,149,0.685,ATL,True,1966,True,False,,none
1899,BSN,ATL,NL,Boston Beaneaters,95,57,152,0.625,ATL,True,1966,True,False,,none
1900,BSN,ATL,NL,Boston Beaneaters,66,72,138,0.478,ATL,True,1966,True,False,,none
1901,BSN,ATL,NL,Boston Beaneaters,69,69,138,0.5,ATL,True,1966,True,False,,none
1902,BSN,ATL,NL,Boston Beaneaters,73,64,137,0.533,ATL,True,1966,True,False,,none
1903,BSN,ATL,NL,Boston Beaneaters,58,80,138,0.42,ATL,True,1966,True,False,,none
1904,BSN,ATL,NL,Boston Beaneaters,55,98,153,0.359,ATL,True,1966,True,False,,none
1905,BSN,ATL,NL,Boston Beaneaters,51,103,154,0.331,ATL,True,1966,True,False,,none
1906,BSN,ATL,NL,Boston Beaneaters,49,102,151,0.325,ATL,True,1966,True,False,,none
1907,BSN,ATL,NL,Boston Doves,58,90,148,0.392,ATL,True,1966,True,False,,none
1908,BSN,ATL,NL,Boston Doves,63,91,154,0.409,ATL,True,1966,True,False,,none
1909,BSN,ATL,NL,Boston Doves,45,108,153,0.294,ATL,True,1966,True,False,,none
1910,BSN,ATL,NL,Boston Doves,53,100,153,0.346,ATL,True,1966,True,False,,none
1911,BSN,ATL,NL,Boston Rustlers,44,107,151,0.291,ATL,True,1966,True,False,,none
1912,BSN,ATL,NL,Boston Braves,52,101,153,0.34,ATL,True,1966,True,False,,none
1913,BSN,ATL,NL,Boston Braves,69,82,151,0.457,ATL,True,1966,True,False,,none
1914,BSN,ATL,NL,Boston Braves,94,59,153,0.614,ATL,True,1966,True,False,,none
1915,BSN,ATL,NL,Boston Braves,83,69,152,0.546,ATL,True,1966,True,False,,none
1916,BSN,ATL,NL,Boston Braves,89,63,152,0.586,ATL,True,1966,True,False,,none
1917,BSN,ATL,NL,Boston Braves,72,81,153,0.471,ATL,True,1966,True,False,,none
1918,BSN,ATL,NL,Boston Braves,53,71,124,0.427,ATL,True,1966,True,False,,none
1919,BSN,ATL,NL,Boston Braves,57,82,139,0.41,ATL,True,1966,True,False,,none
1920,BSN,ATL,NL,Boston Braves,62,90,152,0.408,ATL,True,1966,True,False,,none
1921,BSN,ATL,NL,Boston Braves,79,74,153,0.516,ATL,True,1966,True,False,,none
1922,BSN,ATL,NL,Boston Braves,53,100,153,0.346,ATL,True,1966,True,False,,none
1923,BSN,ATL,NL,Boston Braves,54,100,154,0.351,ATL,True,1966,True,False,,none
1924,BSN,ATL,NL,Boston Braves,53,100,153,0.346,ATL,True,1966,True,False,,none
1925,BSN,ATL,NL,Boston Braves,70,83,153,0.458,ATL,True,1966,True,False,,none
1926,BSN,ATL,NL,Boston Braves,66,86,152,0.434,ATL,True,1966,True,False,,none
1927,BSN,ATL,NL,Boston Braves,60,94,154,0.39,ATL,True,1966,True,False,,none
1928,BSN,ATL,NL,Boston Braves,50,103,153,0.327,ATL,True,1966,True,False,,none
1929,BSN,ATL,NL,Boston Braves,56,98,154,0.364,ATL,True,1966,True,False,,none
1930,BSN,ATL,NL,Boston Braves,70,84,154,0.455,ATL,True,1966,True,False,,none
1931,BSN,ATL,NL,Boston Braves,64,90,154,0.416,ATL,True,1966,True,False,,none
1932,BSN,ATL,NL,Boston Braves,77,77,154,0.5,ATL,True,1966,True,False,,none
1933,BSN,ATL,NL,Boston Braves,83,71,154,0.539,ATL,True,1966,True,False,,none
1934,BSN,ATL,NL,Boston Braves,78,73,151,0.517,ATL,True,1966,True,False,,none
1935,BSN,ATL,NL,Boston Braves,38,115,153,0.248,ATL,True,1966,True,False,,none
1936,BSN,ATL,NL,Boston Bees,71,83,154,0.461,ATL,True,1966,True,False,,none
1937,BSN,ATL,NL,Boston Bees,79,73,152,0.52,ATL,True,1966,True,False,,none
1938,BSN,ATL,NL,Boston Bees,77,75,152,0.507,ATL,True,1966,True,False,,none
1939,BSN,ATL,NL,Boston Bees,63,88,151,0.417,ATL,True,1966,True,False,,none
1940,BSN,ATL,NL,Boston Bees,65,87,152,0.428,ATL,True,1966,True,False,,none
1941,BSN,ATL,NL,Boston Braves,62,92,154,0.403,ATL,True,1966,True,False,,none
1942,BSN,ATL,NL,Boston Braves,59,89,148,0.399,ATL,True,1966,True,False,,none
1943,BSN,ATL,NL,Boston Braves,68,85,153,0.444,ATL,True,1966,True,False,,none
1944,BSN,ATL,NL,Boston Braves,65,89,154,0.422,ATL,True,1966,True,False,,none
1945,BSN,ATL,NL,Boston Braves,67,85,152,0.441,ATL,True,1966,True,False,,none
1946,BSN,ATL,NL,Boston Braves,81,72,153,0.529,ATL,True,1966,True,False,,none
1947,BSN,ATL,NL,Boston Braves,86,68,154,0.558,ATL,True,1966,True,False,,none
1948,BSN,ATL,NL,Boston Braves,91,62,153,0.595,ATL,True,1966,True,False,,none
1949,BSN,ATL,NL,Boston Braves,75,79,154,0.487,ATL,True,1966,True,False,,none
1950,BSN,ATL,NL,Boston Braves,83,71,154,0.539,ATL,True,1966,True,False,,around_1953
1951,BSN,ATL,NL,Boston Braves,76,78,154,0.494,ATL,True,1966,True,False,,around_1953
1952,BSN,ATL,NL,Boston Braves,64,89,153,0.418,ATL,True,1966,True,False,,around_1953
1953,ML1,ATL,NL,Milwaukee Braves,92,62,154,0.597,ATL,True,1966,True,False,,around_1953
1954,ML1,ATL,NL,Milwaukee Braves,89,65,154,0.578,ATL,True,1966,True,False,,around_1953
1955,ML1,ATL,NL,Milwaukee Braves,85,69,154,0.552,ATL,True,1966,True,False,,around_1953
1956,ML1,ATL,NL,Milwaukee Braves,92,62,154,0.597,ATL,True,1966,True,False,,around_1953
1957,ML1,ATL,NL,Milwaukee Braves,95,59,154,0.617,ATL,True,1966,True,False,,none
1958,ML1,ATL,NL,Milwaukee Braves,92,62,154,0.597,ATL,True,1966,True,False,,none
1959,ML1,ATL,NL,Milwaukee Braves,86,70,156,0.551,ATL,True,1966,True,False,,none
1960,ML1,ATL,NL,Milwaukee Braves,88,66,154,0.571,ATL,True,1966,True,False,,none
1961,ML1,ATL,NL,Milwaukee Braves,83,71,154,0.539,ATL,True,1966,True,False,,none
1962,ML1,ATL,NL,Milwaukee Braves,86,76,162,0.531,ATL,True,1966,True,False,,none
1963,ML1,ATL,NL,Milwaukee Braves,84,78,162,0.519,ATL,True,1966,True,False,,around_1966
1964,ML1,ATL,NL,Milwaukee Braves,88,74,162,0.543,ATL,True,1966,True,False,,around_1966
1965,ML1,ATL,NL,Milwaukee Braves,86,76,162,0.531,ATL,True,1966,True,False,,around_1966
1966,ATL,ATL,NL,Atlanta Braves,85,77,162,0.525,ATL,True,1966,False,True,0,around_1966
1967,ATL,ATL,NL,Atlanta Braves,77,85,162,0.475,ATL,True,1966,False,True,1,around_1966
1968,ATL,ATL,NL,Atlanta Braves,81,81,162,0.5,ATL,True,1966,False,True,2,around_1966
1969,ATL,ATL,NL,Atlanta Braves,93,69,162,0.574,ATL,True,1966,False,True,3,around_1966
1970,ATL,ATL,NL,Atlanta Braves,76,86,162,0.469,ATL,True,1966,False,True,4,none
1971,ATL,ATL,NL,Atlanta Braves,82,80,162,0.506,ATL,True,1966,False,True,5,none
