yearID,teamID,franchID,lgID,name,W,L,G,W_pct,canonical_franchise,is_relocated_franchise,relocation_year,pre_relocation,post_relocation,years_since_relocation
1902,BOS,BOS,AL,Boston Americans,77,60,137,0.562,,False,,False,False,
1903,BOS,BOS,AL,Boston Americans,91,47,138,0.659,,False,,False,False,
1904,BOS,BOS,AL,Boston Americans,95,59,154,0.617,,False,,False,False,
1905,BOS,BOS,AL,Boston Americans,78,74,152,0.513,,False,,False,False,
1906,BOS,BOS,AL,Boston Americans,49,105,154,0.318,,False,,False,False,
1907,BOS,BOS,AL,Boston Americans,59,90,149,0.396,,False,,False,False,
1908,BOS,BOS,AL,Boston Red Sox,75,79,154,0.487,,False,,False,False,
1909,BOS,BOS,AL,Boston Red Sox,88,63,151,0.583,,False,,False,False,
1910,BOS,BOS,AL,Boston Red Sox,81,72,153,0.529,,False,,False,False,
1911,BOS,BOS,AL,Boston Red Sox,78,75,153,0.51,,False,,False,False,
1912,BOS,BOS,AL,Boston Red Sox,105,47,152,0.691,,False,,False,False,
1913,BOS,BOS,AL,Boston Red Sox,79,71,150,0.527,,False,,False,False,
1914,BOS,BOS,AL,Boston Red Sox,91,62,153,0.595,,False,,False,False,
1915,BOS,BOS,AL,Boston Red Sox,101,50,151,0.669,,False,,False,False,
1916,BOS,BOS,AL,Boston Red Sox,91,63,154,0.591,,False,,False,False,
1917,BOS,BOS,AL,Boston Red Sox,90,62,152,0.592,,False,,False,False,
1918,BOS,BOS,AL,Boston Red Sox,75,51,126,0.595,,False,,False,False,
1919,BOS,BOS,AL,Boston Red Sox,66,71,137,0.482,,False,,False,False,
1920,BOS,BOS,AL,Boston Red Sox,72,81,153,0.471,,False,,False,False,
1921,BOS,BOS,AL,Boston Red Sox,75,79,154,0.487,,False,,False,False,
1922,BOS,BOS,AL,Boston Red Sox,61,93,154,0.396,,False,,False,False,
1923,BOS,BOS,AL,Boston Red Sox,61,91,152,0.401,,False,,False,False,
1924,BOS,BOS,AL,Boston Red Sox,67,87,154,0.435,,False,,False,False,
1925,BOS,BOS,AL,Boston Red Sox,47,105,152,0.309,,False,,False,False,
1926,BOS,BOS,AL,Boston Red Sox,46,107,153,0.301,,False,,False,False,
1927,BOS,BOS,AL,Boston Red Sox,51,103,154,0.331,,False,,False,False,
1928,BOS,BOS,AL,Boston Red Sox,57,96,153,0.373,,False,,False,False,
1929,BOS,BOS,AL,Boston Red Sox,58,96,154,0.377,,False,,False,False,
1930,BOS,BOS,AL,Boston Red Sox,52,102,154,0.338,,False,,False,False,
1931,BOS,BOS,AL,Boston Red Sox,62,90,152,0.408,,False,,False,False,
1932,BOS,BOS,AL,Boston Red Sox,43,111,154,0.279,,False,,False,False,
1933,BOS,BOS,AL,Boston Red Sox,63,86,149,0.423,,False,,False,False,
1934,BOS,BOS,AL,Boston Red Sox,76,76,152,0.5,,False,,False,False,
1935,BOS,BOS,AL,Boston Red Sox,78,75,153,0.51,,False,,False,False,
1936,BOS,BOS,AL,Boston Red Sox,74,80,154,0.481,,False,,False,False,
1937,BOS,BOS,AL,Boston Red Sox,80,72,152,0.526,,False,,False,False,
1938,BOS,BOS,AL,Boston Red Sox,88,61,149,0.591,,False,,False,False,
1939,BOS,BOS,AL,Boston Red Sox,89,62,151,0.589,,False,,False,False,
1940,BOS,BOS,AL,Boston Red Sox,82,72,154,0.532,,False,,False,False,
1941,BOS,BOS,AL,Boston Red Sox,84,70,154,0.545,,False,,False,False,
1942,BOS,BOS,AL,Boston Red Sox,93,59,152,0.612,,False,,False,False,
1943,BOS,BOS,AL,Boston Red Sox,68,84,152,0.447,,False,,False,False,
1944,BOS,BOS,AL,Boston Red Sox,77,77,154,0.5,,False,,False,False,
1945,BOS,BOS,AL,Boston Red Sox,71,83,154,0.461,,False,,False,False,
1946,BOS,BOS,AL,Boston Red Sox,104,50,154,0.675,,False,,False,False,
1947,BOS,BOS,AL,Boston Red Sox,83,71,154,0.539,,False,,False,False,
1948,BOS,BOS,AL,Boston Red Sox,96,59,155,0.619,,False,,False,False,
1949,BOS,BOS,AL,Boston Red Sox,96,58,154,0.623,,False,,False,False,
1950,BOS,BOS,AL,Boston Red Sox,94,60,154,0.61,,False,,False,False,
1951,BOS,BOS,AL,Boston Red Sox,87,67,154,0.565,,False,,False,False,
1952,BOS,BOS,AL,Boston Red Sox,76,78,154,0.494,,False,,False,False,
1953,BOS,BOS,AL,Boston Red Sox,84,69,153,0.549,,False,,False,False,
1954,BOS,BOS,AL,Boston Red Sox,69,85,154,0.448,,False,,False,False,
1955,BOS,BOS,AL,Boston Red Sox,84,70,154,0.545,,False,,False,False,
1956,BOS,BOS,AL,Boston Red Sox,84,70,154,0.545,,False,,False,False,
1957,BOS,BOS,AL,Boston Red Sox,82,72,154,0.532,,False,,False,False,
1958,BOS,BOS,AL,Boston Red Sox,79,75,154,0.513,,False,,False,False,
1959,BOS,BOS,AL,Boston Red Sox,75,79,154,0.487,,False,,False,False,
1960,BOS,BOS,AL,Boston Red Sox,65,89,154,0.422,,False,,False,False,
1961,BOS,BOS,AL,Boston Red Sox,76,86,162,0.469,,False,,False,False,
1962,BOS,BOS,AL,Boston Red Sox,76,84,160,0.475,,False,,False,False,
1963,BOS,BOS,AL,Boston Red Sox,76,85,161,0.472,,False,,False,False,
1964,BOS,BOS,AL,Boston Red Sox,72,90,162,0.444,,False,,False,False,
